Prediction Image,Ground Truth Image,IoU
ANTONIJE_(182_81)_7c,ANTONIJE (182-81) 7c.tif,0.07121445204736725
ANTONIJE_(182_81)_8a,ANTONIJE (182-81) 8a.tif,0.1193962728762637
ANTONIJE_(182_81)_8b,ANTONIJE (182-81) 8b.tif,0.16152477948231833
ANTONIJE_(182_81)_8c,ANTONIJE (182-81) 8c.tif,0.08915808951280435
ANTONIJE_(182_81)_9a,ANTONIJE (182-81) 9a.tif,0.06458283029905257
ANTONIJE_(182_81)_9b,ANTONIJE (182-81) 9b.tif,0.13874445368230554
ANTONIJE_(182_81)_9c,ANTONIJE (182-81) 9c.tif,0.09909791676849532
ANTONIJE_182_81_3c,ANTONIJE_182_81_3c.tif,0.880399328513566
ANTONIJE_182_81_6c,ANTONIJE_182_81_6c.tif,0.8872407612272619
B_81_10a,B-81 10a.tif,0.8515046823083382
B_81_10b,B-81 10b.tif,0.8582358783003713
B_81_10c,B-81 10c.tif,0.776450577787495
B_81_1a,B-81 1a.tif,0.8593683812651925
B_81_1b,B-81 1b.tif,0.8676114401328057
B_81_1c,B-81 1c.tif,0.7290260255474179
B_81_2a,B-81 2a.tif,0.8876454708240291
B_81_2b,B-81 2b.tif,0.834329622755666
B_81_2c,B-81 2c.tif,0.7157108979060033
B_81_3a,B-81 3a.tif,0.8071134682491659
B_81_3b,B-81 3b.tif,0.850782902533033
B_81_3c,B-81 3c.tif,0.7686842733074613
B_81_4a,B-81 4a.tif,0.841160811553278
B_81_4b,B-81 4b.tif,0.8294342796529149
B_81_5a,B-81 5a.tif,0.8021678807875077
B_81_5b,B-81 5b.tif,0.8349567266468857
B_81_6a,B-81 6a.tif,0.8218733918263029
B_81_6b,B-81 6b.tif,0.8051839689622969
B_81_6c,B-81 6c.tif,0.8571101303938201
B_81_7a,B-81 7a.tif,0.870929476750153
B_81_7c,B-81 7c.tif,0.8122434874447175
B_81_8a,B-81 8a.tif,0.829313880126183
B_81_8b,B-81 8b.tif,0.8365145912914685
B_81_8c,B-81 8c.tif,0.861754294376235
B_81_9a,B-81 9a.tif,0.8551437689546463
B_81_9b,B-81 9b.tif,0.7400830158046681
B_81_9c,B-81 9c.tif,0.8784969470772153
BORA_1b,BORA 1b.tif,0.7346903027991952
BORA_2a,BORA 2a.tif,0.7516134696806447
BORA_2b,BORA 2b.tif,0.7586920078667104
